Nombre,N°,Rareza,Tipo,Supertipo,Subtipo,Senda,Coste,FUE,RES,Arte,Habilidades,Texto de ambientación
Kirch fuegodemencia,28,C,Aliado,,Kirch,Caos,3,2,2,Emmanuel Bou,"Cuando Kirch Fuegodemencia entre en juego, si hay Thanatos, hace 1 punto de daño al aliado objetivo.","""Los débiles sucumbieron ante el pulso de destrucción... Nunca los llamaran de ese modo"""
Kirch persistente,29,I,Aliado,,Kirch,Caos,2,2,1,Alejandro Machado / Germán Nóbile,"Cuando Kirch Persistente vaya a un Inferno desde el juego, pon en juego una ficha de aliado (caos) Kirch FUE 1 RES 1 con la habilidad de Furia.","""Cuando el espíritu se niega al inferno."""
Kirch poseído,30,I,Aliado,,Kirch,Caos,1,1,1,Emmanuel Bou,"Kirch Poseído obtiene +1 de FUE, +1 de RES y tiene la habilidad de Furia mientras haya Thanatos. Kirch Poseído es un Vampiro además de sus otros tipos mientras haya Thanatos. ",
Kirch solitario,31,C,Aliado,,Kirch,Caos,0,1,1,Felipe Araya,, 
Lágrimas de syv,32,E,Ritual,,,Caos,7,,,Fabián Alberto Gonzalez,Destruye todas las cartas giradas,"""Los cielos se enrojecieron, llovio durante tres jornadas, una lluvia negra y espesa. Corrompio la tierra, el agua se evaporo, arboles, semillas, arbustos, hierbas, todo se convirtio en lo que conocemos, en desierto, en arena."" -Fragmento del Imperio de la arena roja"
Luminiscencia demencial,33,I,Ritual,Instantáneo,,Caos,1,,,Sergio Tarquini / Gustavo Santome,"Tu demonio hace 1 punto de daño al aliado o demonio objetivo. Si hay Thanatos, en vez de eso, hace 3 puntos de daño al aliado o demonio objetivo.","""La gran llama verde ha decidido tu destino"""
Maldición de sangre,34,C,Ritual,,,Caos,4,,,Ignacio Bustos,Destruye el arma o recurso objetivo,"""Sangre de cirugías fallidas. El maestro Tod es un gran proveedor."""
Manual de demolición,35,R,Objeto,,,Caos,1,,,Fabián Alberto Gonzalez,0: Destruye un recurso que controles,
Martillo de terremotos,36,I,Arma,,,Caos,3,+2,,Santiago Calleriza,"Siempre que el aliado equipado haga daño de combate a un demonio, puedes destruir el escenario objetivo","""Bautizada cariñosamente como la destruyehogares"""
Máscara opresora,37,C,Objeto,,,Caos,2,,,Adrián Kim,"Destruir Mascara Opresora: el daño de combate no puede ser prevenido este turno. Si hay Thanatos, en vez de eso, el daño no puede ser prevenido este turno.","""La ajustaste bien, ¿no es así?"" -Guardacarceles difunto"
Pandilla bruta,38,C,Aliado,,Humano,Caos,4,4,2,Lizzo,Agresor,"""Bienvenido extranjero, ¿Que extremidad nos dejas como pago por tu estadía?"""
Pesadilla del desierto,39,R,Aliado,,Encarnación,Caos,8,8,4,Alejandro Machado / Germán Nóbile,"Cuando Pesadilla del desierto vaya a un inferno desde el juego, pon en juego cuatro fichas de aliado (caos) Kirch FUE 1, RES 1 con la habilidad de Furia.",
Plataformas de combate,40,R,Escenario,,,Caos,0, , ,Edgard Machiavello,"Si un ritual fuera a hacer daño a un aliado, en ves de eso hace esa cantidad de daño +1 a ese aliado.","""Gloria, sangre y dolor: entretenimiento popular."""
Portadora de la rabia,41,R,Aliado,Único,Súcubo,Caos,6,4,4,Verónica Vallejos / Nicolás Fernández,"Siempre que un demonio reciba daño de un ritual, puedes poner en juego una ficha de aliado vampiro 1 FUE 1 RES por cada punto de daño.",
Pozo de lava,42,I,Objeto,,,Caos,2,,,Esteban Campos Millapel,Destruir pozo de lava: Pon un arma de tu Inferno en tu mano,"""Aquel que se atreva merece la recompensa"""
Seguidor de Tanger,43,R,Aliado,,Humano,Caos,5,2,3,Ignacio Bustos,"Cuando Seguidor de Tanger entre en juego, si hay Thanatos, puedes buscar un arma y ponerla en juego equipándolo","""Tanger provee a sus fieles siervos con armamento tan poderoso como los seres que lo forjan"""
Sueño de Volker,44,R,Ritual,Instantáneo,,Caos,1,,,Fabián Mayta Aguilar,"Busca en tu mazo un arma y muéstrala. Luego, mezcla tu mazo y pon esa carta en la parte superior.","""Serás señor de la arena, cuando el día se cubra con el manto de la noche y el rojo poder del arma de cristal se despliegue en combate"" -Akayra"
Tornado destructivo,45,R,Ritual,,,Caos,X1,,,Esteban Campos Millapel,Tu Demonio hace X puntos de dalo al aliado o demonio objetivo.,"""Mire el espectáculo a través de una cortina de fuego que me envolvía. Todo ardía, todo se quemaba, sin dejar cenizas, la arena me bañaba"" _Fragmento del imperio de la arena roja"
"Volker, hacedor de la arena",46,E,Aliado,Único,Vampiro,Caos,6,2,5,Lizzo,"Pon 2 contadores de daño sobre Volker: Pon en juego una ficha (caos) Kirch 1 FUE 1 RES con la habilidad de Furia. Siempre que un kirch sea destruido, remueve un contador de daño sobre Volker", 
Acorazado de cobre ,47,C,Aliado,,Tanque,Locura,4,3,3,Adrián Kim,Protector,"""La ciudad debe crecer, el bosque deberá buscar otro lugar"""
Actualizar información,48,R,Ritual,Instantáneo,,Locura,1,,,Juan Manuel Tumburus,Busca en tu mazo un ritual y muéstralo. Luego mezcla tu mazo  y ponlo en la parte superior de tu biblioteca.,"""Los implantes del tórax parecieron responder a alguna orden transmitida y abrieron un compartimiento circular en el abdomen."" -Fragmento de Efe, pionero de la rebelión"
Bomba de oscuridad,49,C,Objeto,,,Locura,2,,,Edgard Machiavello,Cuando Bomba de oscuridad entre en juego toma una carta. Destruir bomba de oscuridad: El aliado objetivo pierde todas sus habilidades hasta el final del turno,"""El artilugio los tomo por sorpresa, y no tuvieron tiempo de repelerlo"" -Fragmentos de Efe, pionero de la rebelión"
Caminante solitario,50,I,Aliado,,Humano,Locura,3,2,3,Sergio Tarquini / Ivanna Matilla,Vínculo 1: El demonio objetivo descarta una carta al azar,"""¿Me harías una lectura? Se que es un privilegio de los veneradores, ¡pero puedo pagarte una cifra voluminosa!"" -Aspen, caminante solitario"
Campeón cyborg,51,C,Aliado,Instantáneo,Cyborg,Locura,3,2,4,Alejandro Machado / Franco Riesco,,
Conocimiento acelerado,52,C,Ritual,,,Locura,2,,,Sergio Tarquini / Gustavo Santome,"Toma 2 cartas, luego mezcla una carta de tu mano en tu mazo. Recobrar 3","""Filtrando información, el cerebro humano es muy imperfecto"" -Mimere"
Cubrir el acceso,53,R,Ritual,,,Locura,4,,,Felipe Araya,Voltea el demonio objetivo si se encuentra en su forma terrenal.,"""Es un ritual sencillo, no lo he probado aun. Pero sospecho que con la ayuda de su magnificencia podrai abrir un portal tan grande como para hacer pasar por el a todo Jemo"" -Efe, pionero de la rebelion"
Cyborg paralizador,54,C,Aliado,Instantáneo,Cyborg,Locura,2,1,3,Esteban Campos Millapel,"Cuando Cyborg paralizador entre en juego, si hay Thanatos, el aliado objetivo pierde todas sus habilidades hasta el final del turno",
Cyborg poseído,55,I,Aliado,,Cyborg,Locura,1,1,1,Paulo Barrios / Juan Martinez Pinilla,"Cyborg Poseído obtiene +1 de FUE, +1 de RES y tiene la habilidad de Halo mientras haya Thanatos. Cyborg Poseído es un Vampiro además de sus otros tipos mientras haya Thanatos. ","""Cuando la demencia se apodera de la locura, los resultados no son alentadores"""
Defensor melee,56,C,Aliado,,Cyborg,Locura,1,1,1,Germán Nóbile,Halo,"""La segunda barrera de protección  de Jemo"""
"Delos, runa del pasado",57,R,Objeto,Único,,Locura,3,,,Emmanuel Bou,Los demonios juegan mostrando la carta superior de su mazo. Girar Delos: El demonio objetivo mezcla su mazo,"""Las aguas del rio pueden traer valiosos objetos si se aprende a manipular sus corrientes."" Mimire"
Desintegrar,58,R,Ritual,Instantáneo,,Locura,3,,,Germán Nóbile,Mezcla el aliado objetivo en el mazo de su demonio,"""¿Crees que en algún lugar de la tierra estarías a salvo de la red de Viden?"" Fragmento de Efe, pionero de la rebelión"
Destilar ideas,59,I,Ritual,Instantáneo,,Locura,2,,,Fabián Alberto Gonzalez,Pon el recurso objetivo que controles en tu mano. Recobrar 2,"""La materia es energía, al igual que el conocimiento."" Mimere"
Domo de energía,60,E,Objeto,,,Locura,3,,,Ignacio Bustos,"Siempre que un aliado enemigo ataque a tu demonio, su controlador puede pagar 2. Si no lo hace, cancela el combate.","""El domo de defensa estaba encendido, cubriendo la ciudad con una capa de energia que hacia imposible la entrada."" Fragmento de Efe, pionero de la rebelion"
Droide explorador,61,I,Objeto,,,Locura,2,,,Felipe Araya,Destruir droide explorador: Pon un ritual de tu Inferno en tu mano,"""Los droides viajan incansablemente hasta encontrar la sabiduría perdida en el inferno."""
"Efe, pionero de la rebelión",62,E,Aliado,,,Locura,5,3,4,Luciano Fleitas,"2: Pon en juego una ficha de objeto (Locura) Bot con la habilidad ""Destruir Bot: Remueve 1 contador de daño sobre el cyborg objetivo"". Girar: Todos tus bot son aliados 1 FUE, 1 RES hasta el final del turno.",
Hoja de la pereza,63,C,Arma,,,Locura,3,+3,,Emmanuel Bou,,
Inmovilidad demencial,64,C,Ritual,Instantáneo,,Locura,2,,,Luciano Comizzo,"Cancela la carta objetivo de coste 2 o menos. Si hay Thanatos, en vez de eso cancela la carta objetivo de coste 4 o menos.","""Por mas fácil que parecía, la demencia imposibilito la tarea"""
"Jemo, la cuidad flotante",65,R,Escenario,, ,Locura,0,, ,Pablo Gorigoitia - Nicolás Fernández,"Al comienzo de la Restauración de cada demonio, Jemo hace X puntos de daño a ese demonio, donde X es 3 menos la cantidad de cartas en su mano.","""La ignorancia es penada por ley"""
Luminium líquido,66,R,Objeto,,,Locura,3, , ,Stryke / Sandro Rybak,"En cuanto Luminium Liquido entre en juego, puedes elegir un objeto en el juego. Si lo haces, Luminium liquido entre en juego como una copia de ese objeto. ","""La grandeza de cada idea, esta limitada por la grandeza de su dueño"" -Mimire"
Minotanke,67,I,Aliado,Instantáneo,Cyborg,Locura,5,5,3,Tomás Aira,Minotanke obtiene la habilidad de Halo mientras haya Thanatos,
Nano-revólver de implosión,68,R,Aliado,Único,,Locura,4,+2,+2,Ignacio Bustos,"Siempre que un ritual tenga como único objetivo al aliado equipado, puedes cambiar el objetivo de ese ritual ","""Luego de esa asombrosa maniobra esquiva, no le resulto difícil apuntar a su enemigo y abrir fuego"" -Fragmento de Efe, pionero de la rebelión"
Ojo de la emboscada,69,C,Objeto,,,Locura,1,,,Hans Lobos,Destruir Ojo de la emboscada: Gira el aliado objetivo,"""Dispositivos de control, para mas mentes negligentes"""
Persuadir,70,I,Ritual,, ,Locura,3, , ,Brian Miroglio,Gana el control del aliado enemigo objetivo hasta el final del turno. Endereza ese aliado. Gana la habilidad de furia hasta el final del turno.," ""Escúchame atentamente, solo lo diré una vez."" –Ubanna"
Portadora de la sabiduría,71,R,Aliado,Único,Súcubo,Locura,6,5,5,Nicolás Fernández,"Siempre que un demonio tome una carta, puedes poner en juego una ficha de aliado Vampiro 1 FUE 1 RES. ",
Predicción oportuna,72,C,Ritual,Instantáneo,,Locura,1,,,Sara Villegas,Mira y ordena las primeras 3 cartas del demonio objetivo. Vínculo 1: Mira y ordena las primeras 3 cartas de tu mazo.,"""Si, he visto tu futuro. No, no vivirás tanto."""
Reflector del pánico,73,I,Objeto,,,Locura,3,,,Felipe Araya,"1, Girar: Gira el aliado objetivo","""De su luz surgen tus mayores miedos"
Robar cordura,74,E,Ritual,, ,Locura,4, , ,Nicolás Fernández,"Mira la mano del demonio enemigo objetivo y elige una carta. Busca en su mazo, mano e inferno todas las copias de esa carta y exílialas. Luego, ese demonio mezcla su mazo. Exilia Robar cordura.","""Si la inmortalidad reside en el mundo de las ideas, tu vida es mía, pues así también lo es tu mente."" -Baggrund"
Sabios del vacío,75,I,Aliado,,Humano,Locura,4,3,3,Alejandro Machado / Franco Riesco,"Cuando los sabios del vacío vayan al infierno desde el juego, cada enemigo descarta una carta.","""Extrañare la risa, llanto y enojo de estos humanos, bueno, tal vez no."" -Baggrund"
Telépata de la esfera,76,C,Aliado,,Humano,Locura,2,2,2,Adrián Kim,Cuando Telepata de la esfera entra en juego mira la mano del demonio objetivo,"""No hay secreto escondido para ellos"""
Terapia láser,77,I,Ritual,Instantáneo,,Locura,2,,,Manuela Mauregui,Cancela la carta objetivo con Thanatos,"""No va a dolerte..."" -Baggrund"
Tratante de conocimiento,78,R,Aliado,,Cyborg,Locura,4, , ,Manuela Mauregui,"Siempre que Tratante de conocimiento ataque, toma 3 cartas. ","""Verda, era el unico cyborg que lejos de imitar las usanzas del lugar, habia introducido su propio gusto a la poblacion."" Fragmento de Efe, pionero de la rebelion"
Visión profunda,79,C,Ritual,, ,Locura,1, , ,Gastón Zubeldia,"Mira la mano del demonio objetivo, elige una carta que no sea aliado, luego ese demonio se descarta de esa carta.","""No te preocupes, Terminare pronto."" -Baggrund"
Yelmo de la verdad,80,C,Objeto,,,Locura,1,,,Edgard Machiavello,"Cuando Yelmo de la Verdad entra en juego, Elige un demonio. Ese demonio juega mostrando su mano mientras yelmo de la verdad permanezca en juego.","""No me cuentes nada, ya lo se TODO"" -Viden"
Altar de At Fjerne,81,E,Objeto,,,Muerte,3,,,Ignacio Bustos,"Girar, Destruir un aliado que controles: Tu demonio obtiene +1 FUE hasta el final del turno.","""Su altar no fue eregido para simples adoraciones, sino para los mas violentos sacrificios"""
Alterar el cuerpo,82,C,Ritual,Instantáneo,,Muerte,1,,,Gastón Real Lopez / Franco Riesco,Intercambia la FUE y la RES del aliado objetivo hasta el final del turno,"""El vigilante sintió su brazo endurecerse rápidamente como el granito"""
Antigua abadía,83,R,Escenario,,,Muerte,0,,,Pablo Gorigoitia - Nicolás Fernández,"Si una carta fuera a ser puesta en el inferno, en vez de eso, exíliala. – ""Todos los caminos conducen al olvido."" -Caminante de la Abadia","""Todos los caminos conducen al olvido."" -Caminante de la Abadia"
Apertura infernal,84,C,Ritual,Instantáneo,,Muerte,1,,,Fabián Mayta Aguilar,Exilia la Carta Objetivo de un Inferno. Recobrar 2,"""Adiós, adiós para siempre."""
Calavera grabada,85,I,Objeto,,,Muerte,2,,,Germán Nóbile,Destruir Calavera grabada: Pon un objeto de tu Inferno en tu mano,"""Tiempos pasados fueron grabados en lugares difíciles de encontrar."""
Caminante de la abadía,86,I,Aliado,,Humano,Muerte,3,2,3,Edgard Machiavello,Vínculo 1: Exilia hasta 3 cartas objetivo de un Inferno,"""¿Mi concejo? Aléjate de la abadía lo antes que puedas."""
Campeón diablo,87,C,Aliado,,Diablo,Muerte,3,4,2,Lizzo,,
Cántico sorginak,88,C,Aliado,Instantáneo,Humano,Muerte,3,3,2,Gastón Zubeldia,"Cuando Cántico Sorginak entre en juego, el aliado objetivo obtiene -2 FUE hasta el final del turno.","""El cántico comenzó a replicar cada vez más fuerte, y de repente, el ser concibió"" -Fragmento de amanecer para un nuevo destierro."""
Cruz repelente,89,C,Objeto,,,Muerte,1,,,Fabián Alberto Gonzalez,Destruir Cruz Repelente: Mueve un contador de daño de un aliado objetivo a otro aliado objetivo,"""La mejor manera de soportar el dolor, es que otro lo soporte"" -Mike"
"Démona, espina del tormento",90,R,Objeto,Único,,Muerte,3,,,Emmanuel Bou,"1, Girar: el aliado objetivo no puede atacar este turno. Demona le hace 1 punto de daño a ese aliado.","""Rogaras por una muerte rápida, pero ya perdiste tu oportunidad."" Unwaj"
Diablo acorazado,91,I,Aliado,,Diablo,Muerte,6,5,3,Alejandro Machado / Santiago Calleriza,"Si diablo acorazado fuera a recibir daño, prevén 1 punto de ese daño. ","""Sus escamas se fundieron con las cenizas del primer incendio"""
Diablo camaleón,92,C,Aliado,,Diablo,Muerte,2,1,3,Esteban Campos Millapel,Intercambia la FUE y la RES del Diablo Camaleón mientras haya Thanatos. ,"""Representa la luz y la sombra, la belleza y la monstruosidad, la cordura y la demencia"""
Diablo ofuscado,93,C,Aliado,,Diablo,Muerte,3,3,3,Damián Graff,Diablo Ofuscado tiene la habilidad de Evasivo mientras haya Thanatos. ,"""La bruma insanica les otorgo un poderoso don, que recibieron agradecidamente"""
Diablo poseído,94,I,Aliado,,Diablo,Muerte,1,1,1,Brian Miroglio,"Demonio Poseído obtiene +1 de FUE, +1 de RES y tiene la habilidad de Evasivo mientras haya Thanatos. Demonio Poseído es un Vampiro además de sus otros tipos mientras haya Thanatos. ","""Los Diablos son vulnerables a los cambios de entorno"""
Diablo precavido,95,C,Aliado,,Diablo,Muerte,2,2,2,Luciano Comizzo,Evasivo,"""Escondidos en las deformaciones rocosas de la antigua abadía, acumulan cráneos de los visitantes entrometidos"""
Disgregar almas,96,I,Ritual,Instantáneo,,Muerte,3,,,Gastón Zubeldia,Pon un aliado objetivo que controles y un aliado objetivo que no controles en la mano de sus Demonios,"""Eusthario pronuncio las palabras, y el alma de la hermosa joven abandono el lugar."""
Entregar a la demencia,97,I,Ritual,,,Muerte,3,,,Hans Lobos,"El aliado objetivo que controles obtiene +2 FUE hasta el final del turno. Si hay Thanatos, enderézalo y destrúyelo al final del turno.","""Los monjes experimentaron el elixir con los diablos. Obtuvieron grandes resultados"""
Exposición solar,98,I,Ritual,Instantáneo,,Muerte,2,,,Germán Nóbile,Destruye el aliado objetivo con Thanatos,"""Hacia la ventana maldito monstruo. Un bronceado nunca mató a nadie."""
Hoja de la envidia,99,C,Arma,,,Muerte,3,-1,+2,Emmanuel Bou,,
Hojas de Sekhmet,100,R,Aliado,Único,,Muerte,4,+2,+2,Pablo Gorigoitia / Nicolás Fernández,"Siempre que un aliado sea destruido, si el aliado equipado fue la fuente del efecto o del ultimo punto de daño recibido, endereza el aliado equipado.","""La sed de sangre no habitaba en el guerrero, sino en la hoja misma que blandía"""
Ira de Naamah,101,R,Ritual,,,Muerte,5,,,Fabián Mayta Aguilar,Destruye todos los aliados de fuerza 4 o mas,"""Un ejercito de horrendas y deformes criaturas arraso con la escasa vida restante de la ciudad"""
Mesón de operaciones,102,R,Objeto,,,Muerte,5,,,Sara Villegas,"Cuando meson de operaciones entre en juego, pon en juego 2 fichas de aliado (Muerte) Diablo 2 FUE, 1 RES. Al principio de tu Restauracion puedes pagar 3, si lo haces pon Meson de operaciones del juego en tu mano.",
Nigromante diablo,103,R,Aliado,,Diablo,Muerte,4,2,3,Fabián Mayta Aguilar,"Exilia las primeras 5 cartas de tu inferno: Endereza Nigromante Diablo y obtiene +1 FUE hasta el final del turno. Juega esta habilidad solo si hay Thanatos""","""En nuestro nombre sal y muéstrate, principio de malicia y abismo de tinieblas"" -Nebiros"
Portadora de la desgracia,104,R,Aliado,Único,Súcubo,Muerte,6,4,3,Nicolás Fernández,"Siempre que un aliado que no sea ficha sea puesto en el inferno desde el juego, puedes poner en juego una ficha de aliado Vampiro 1 FUE 1 RES. ","""Soy la dueña de la vida y la muerte. De las cenizas levantare mi ejercito"""
Profecía material,105,R,Ritual,Instantáneo,,Muerte,1,,,Emmanuel Bou,Busca en tu mazo un objeto y muéstralo. Luego mezcla tu mazo y pon esa carta en la parte superior.,"""En sus tablillas se encuentra el futuro exacto de nuestras erradas acciones."""
Púa exterminadora,106,C,Objeto,,,Muerte,1,,,Emmanuel Bou,"2, Destruir Púa Exterminadora: Destruye el aliado girado objetivo","""Envidia y Rencor: veneno concentrado en una gota mortal"""
Rastro de niebla,107,E,Ritual,Instantáneo,,Muerte,3,,,Alberto Aprea,Todos los aliados tienen FUE 0 y RES 1 hasta el final del turno,"""Logro controlar un cubo de espesa niebla, con la cual camuflo sus idas y venidas entre los diablos, gargolas y sorginak."" Fragmetno de amanecer para un nuevo destierro"
Reanimar los caídos,108,I,Ritual,,,Muerte,4,,,Alberto Aprea,Cada demonio pone en juego bajo su control un aliado de su inferno,
Reclutadora sorginak,109,C,Aliado,,Humano,Muerte,2,2,1,Brian Miroglio,Vínculo 1: Pon el aliado objetivo en la mano de su demonio,"""Los débiles al sacrificio, los fuertes al mesón del operaciones"""
Robo vital,110,C,Ritual,,,Muerte,3,,,Fabián Alberto Gonzalez,El aliado objetivo obtiene +2 FUE hasta el final del turno y otro aliado objetivo obtiene -2 FUE hasta el final del turno.,"""El Urushdau consistía en traspasar la salud y la fortaleza de un joven a un cuerpo avejentado para recuperar la salud"" -Fragmento amanecer para un nuevo destierro"
Sanguijuela explosiva,111,C,Aliado,,Insecto,Muerte,4,2,3,Germán Nóbile,"Cuando Sanguijuela explosiva vaya a un inferno desde el juego, puedes destruir el aliado objetivo.","""Preciosos y letales. Adoro esos insectos"" -Naamah"
Sorginak líder,112,R,Aliado,,Humano,Muerte,4,4,3,Verónica Vallejos,"Al comienzo de tu restauración, si Sorginak Líder está en tu inferno, puedes pagar 3. Si lo haces, pon Sorginak Líder de tu Inferno en tu mano","""¡Mírame perro de los balcones, aprenderás lo que es la obediencia!"" -Raissa, Sumo sacerdote"
Sorginaks del norte,113,I,Aliado,,Humano,Muerte,4,4,2,Verónica Vallejos / Nicolás Fernández,Evasivo,"Belleza, maldad y sangre, en la misma proporción."
"Vurdalak, ejecutor de venganza",114,E,Aliado,Único,Vampiro,Muerte,4,2,3,Alberto Aprea,"Evasivo. Cuando Vurdalak entre en juego, pon 3 contadores de daño distribuidos sobre cualquier cantidad de aliados enemigos. 0: Mueve un contador de daño de un aliado enemigo objetivo a otro aliado objetivo del mismo controlador.", 
Araña gigante,115,I,Aliado,Instantáneo,Araña,Poder,8,9,7,Gastón Zubeldia,,
"Baku, señor de los reptiles",116,E,Aliado,Único,Reptil Vampiro,Poder,4,2,2,Germán Nóbile,Baki no puede ser objetivo de rituales. Girar un aliado enderezado que controles: gira el aliado objetivo.,¡Soy Baku! Señor de las criaturas que reptan y sisean. ¡El amo exige una ofrenda!
